urun_adi,csv_kategori,siklik,alt_tipler
"KAY SU 0,5 LT",İÇECEK,765,
KINDER SUT DILIMI 28 GR,GIDA,762,
KINDER PINGUI DOLGULU KEK 30 GR,GIDA,761,
CIN MISIR KG.,GIDA,761,
LARK KISA BOX BLUE,SİGARA,748,
EMEK AYCICEK YAG 1 LT PETSISE,GIDA,745,
SENPILIC BAGET,ET TAVUK,743,kasap
F SAFF HAVLU KAGIDI 4 LU,KAĞIT,743,
ETI BENİMO ÇİKOLATALI BISKUVI 88 GR,GIDA,742,sekerci
TRABZON&KOY EKMEGI,GIDA,741,
DOGUS KUP SEKER 750GR,İÇECEK,740,
ANKARA MAKARNA FIYONK 500GR,GIDA,735,
ANKARA MAKARNA SPAGETTI 500GR,GIDA,727,
TADIM AY CEKIRDEGI 50 GR,GIDA,726,
ETI UZUN CIKOLATA KEYFI 40GR ANTEP FISTIKLI,GIDA,717,sekerci
NUTELLA FINDIK EZMESI 400 GR,SÜT KAHVALTILIK,717,
KIRIK PIRINC,GIDA,704,
CILEK,MEYVE SEBZE,702,manav
DR.OETKER PUDING KAKAOLU 154 G,GIDA,691,
SUTAS YAYIK TEREYAG 250 GR.,SÜT KAHVALTILIK,691,
BEYPAZARI SODA TEKLİ 20 CC,İÇECEK,681,bufe
MOR LAHANA,MEYVE SEBZE,679,manav
BILLUR TUZ 1.5 KG EKO,GIDA,677,
AYVA,MEYVE SEBZE,669,manav
KINDER SURPRISE 20 GR,GIDA,668,
ETI BROWNI INTENSE ÇİK. KAPLI KEK 38GR,GIDA,664,
KIVI,MEYVE SEBZE,658,manav
SUTAS SUZME BEYAZ PEYNIR 500 GR,SÜT KAHVALTILIK,644,
SERVIS PECETE 200 ADET,KAĞIT,641,
FINDIK ICI,GIDA,640,kuruyemisci
DOGUS KUP SEKER 1KG 405 ADET,İÇECEK,635,
ULKER COKONAT 32 GR.-275-,GIDA,631,
ULKER METRO 36 GR.-350-,GIDA,629,
PASAKOY YOGURT 2000 GR,SÜT KAHVALTILIK,628,
"SAKA SU 1,5 LİTRE",İÇECEK,626,
KAY SU 10 LT,İÇECEK,624,
ETI BURCAK 140 GR,GIDA,624,
ULKER 80GR A.FISTIKLI CIKOLATA 254,GIDA,621,sekerci
F NEFFIS TOZ SEKER 2 KG,İÇECEK,620,
OZTEMIZEL UN KURABIYE 400 GR,GIDA,619,
AY CEKIRDEGI,GIDA,611,
DERYA TAZE KASAR 400 GR,SÜT KAHVALTILIK,609,
SUTAS SUT 1 LT,SÜT KAHVALTILIK,609,
HALK MARGARIN 250 GR,SÜT KAHVALTILIK,605,
DOGUS KUP SEKER 1KG,İÇECEK,605,
TAT DOMATES SALCASI TENEKE 830 GR,GIDA,604,
F NEFFIS KESME SEKER 1 KG,İÇECEK,602,
ETI BROWNI INTENSE MINI POŞET,GIDA,600,
ANKARA ARPA SEHRIYE 500GR,GIDA,598,
ULKER NAPOLITEN SUTLU CIKO 33 GR,GIDA,596,
BURDAN 15 LI YUMURTA KAHVE 2012,SÜT KAHVALTILIK,594,
PARLIAMENT UZUN NIGHT BLUE,SİGARA,590,
HALK SUT 1/1 LT,SÜT KAHVALTILIK,589,
SARIMSAK,MEYVE SEBZE,583,manav
ETI CIN TEK LOKMALIK PORTAKALLI 112 GR,GIDA,583,
NOGAY AZ TUZLU SELE ZEYTİN,SÜT KAHVALTILIK,578,
BATTAL FASULYE,GIDA,578,
F NEFFIS KESME SEKER 750 GR,İÇECEK,577,
ETI HOSBES GOFRET 160 GR FINDIKLI,GIDA,575,sekerci
F SAFF MENDIL CEP,KAĞIT,569,
F NEFFIS AYCICEK YAGI 5 LT PET,GIDA,564,
"ULUDAG GAZOZ 1,5LT.EKO BOY",İÇECEK,563,bufe
F KALİTEM KAVRULMUS IC FINDIK 400 GR,GIDA,556,kuruyemisci
F SAFF PECETE 100'LU,KAĞIT,548,
MARLBORO KISA LIGHT BOX,SİGARA,544,
ULKER CUBUK KRAKER 5'LI,GIDA,543,bufe
MEGA YAGLI SELE ZEYTIN,SÜT KAHVALTILIK,537,
ETI CRAX CUBUK KRAKER 36 GR,GIDA,536,bufe
OYALI LOR PEYNIRI,SÜT KAHVALTILIK,531,
ULKER CIZI KRAKER 65 GR,GIDA,528,bufe
ULKER HANIMELLER COKODAMLA,GIDA,519,
NESCAFE 3 IN 1 ARADA BOL SUTLU KOPUK 18 GR,İÇECEK,517,
ANKARA MAKARNA BURGU 500GR,GIDA,517,
SERVIS PECETE 100 ADET,KAĞIT,509,
MARLBORO KISA 100 S BOX,SİGARA,508,
TAHSILDAROGLU EZINE BEYAZ PEYNIR,SÜT KAHVALTILIK,508,
SAVAS 5 LI LAVAS EKMEGI,GIDA,508,firin
ETI WANTED BUMBO 20 GR.,GIDA,508,
EMEK AYCICEK YAG 2 LT PETSISE,GIDA,501,
ETI WANTED KARAMELLİ VE PİRİNÇ PATLAKLI 40 GR,GIDA,500,sekerci
KEREVIZ,MEYVE SEBZE,499,manav
PERMATIK TEKLI,KOZMETİK,499,
MAYHOŞ NAR,MEYVE SEBZE,499,manav
DR.OETKER K.TOZU 10LU,GIDA,499,
F SAFF WC KAGIDI 32 LI,KAĞIT,497,
DR.OETKER MAYA 3 LU,GIDA,493,
BURDAN 10 LU JUMBO YUMURTA 2012,SÜT KAHVALTILIK,490,
FIDANLAR ACI PULBIBER 250 GR,GIDA,490,
SUTAS AYRAN 1 LT,İÇECEK,489,bufe
PINAR YAŞAM PINARIM SU 5KG,İÇECEK,483,
FAIRY SIVI BULASIK DETERJANI 750 ML LIMON,DETERJAN TEMİZLİK,483,
"SUTAS YOGURT 2,250 KG KOVA KAYMAKSIZ",SÜT KAHVALTILIK,482,
ULKER PIKO 25GR-398,GIDA,478,
"FANTA PORTAKAL 2,5LT",İÇECEK,477,
