urun_adi,csv_kategori,siklik,alt_tipler
BINGO SIVI DET.2 LT.RENKLI,DETERJAN TEMİZLİK,33,
VICEROY WHITE KS,SİGARA,33,
SENER TAHIN 550GR,SÜT KAHVALTILIK,33,
TAT HARDAL DYON 190GR CAM,GIDA,33,
"ETI PAYKEK HAVUÇLU,CEVİZLİ,TAR.250 GR",GIDA,33,
PERSIL MATIK 1.5 KG GUL,DETERJAN TEMİZLİK,33,
P.BAHCE 42021 CAY BARDK 6LI,EV,33,
H.SAKIR SIVI SAB.2 LT LAVANTA,KOZMETİK,33,
REST DAMLALIK,DETERJAN TEMİZLİK,33,
HALK CORBA EZOGELIN,GIDA,33,
COOK COP TORBASI BATTAL BOY,EV,33,
PERWOLL SİYAH SİHİR 3LT,DETERJAN TEMİZLİK,33,
TAT HASLANMIS FASULYE 850 GR,GIDA,33,
SANA EKMEKUSTU 500 GR KASE,SÜT KAHVALTILIK,33,firin
PHILIPS 57 W 700 LM,EV,33,
HALK GOFRET MUZLU 120GR,GIDA,33,sekerci
CIF KREM DOGAL SERI 500 ML,DETERJAN TEMİZLİK,33,
PINAR BURGER 5 ADET,GIDA,33,
PINAR KOKTEYL SOSIS MINIK 215GR,ET TAVUK,33,kasap
PRIMA 1 PREMCARE 3-6 KG 62 ADET,BEBEK,33,
ULKER ONEO SLIM CILEK,GIDA,33,
DIMES 1LT ACTIVE VISNE SUYU,İÇECEK,33,
PINAR KAKAO SOS 460 GR,GIDA,33,
ICIM M.SUYU %100 ELMA SUYU,İÇECEK,33,
MAGGI CORBA SEHRIYELI TAVUK,GIDA,33,
SARELLE 700 GR FINDIK KREMASI,SÜT KAHVALTILIK,33,
MLP DCARE 16AD LARGE,KAĞIT,33,
DR.OETKER SICAK CIKOLATA 27 GR.,GIDA,33,sekerci
DR.OETKER DOLGU KREMASI VANILYA 55GR,GIDA,33,
BEBELAC 1 250 GR,BEBEK,33,
TARIS Z.YAGI SIZMA 500ML,GIDA,33,
BIZIM UN 1 KG,GIDA,33,
ROZI HIJYENIK KANATLI 20LU,KAĞIT,33,
PENGUEN GARNITUR 345GR,GIDA,33,
LIPTON Y.LABEL TEA 1 KG.,İÇECEK,33,
BARILLA LASAGNE 500GR,GIDA,33,
LAND LITE ELH/S-13W,EV,33,
RUFFLES MAC KEYFI KETCAP CESNILI 171GR,GIDA,33,
MOLPED ULTRA K. GARANTISI NORMAL  30 LU,KAĞIT,33,
HERO UZUMLU-YOGURTLU-MUZLU 125 GR,BEBEK,33,
F SAFF AHSAP TEMIZLEYICI 750 ML.,DETERJAN TEMİZLİK,32,
PINAR SUT EXTRA LIGHT 500ML,SÜT KAHVALTILIK,32,
ELSEVE 650 ML SAMP.+360 ML S. KREMI NEMLENDIRICI,KOZMETİK,32,
TAT BIBER SALCASI CAM TATLI 550GR,GIDA,32,
"TURSIL MATIK 1,5 KG BODRUM BEGONVILI",DETERJAN TEMİZLİK,32,
ARGEM LATEKS ELDIVEN 10'LU,EV,32,
HUGGIES NATURAL ISLAK HAVLU 3 AL 2 ÖDE,KAĞIT,32,
SHAZILI HAZIR TURK KAHVESI SADE,İÇECEK,32,
EMEK ZEYTINYAGI RIVIERA 2LT,GIDA,32,
SENER RECEL 770 GR CILEK,SÜT KAHVALTILIK,32,
CANBEBE KAZANCLI PAKET 5 JUNIOR 60ADET,BEBEK,32,
NESTLE NESQUIK DUO 340GR,GIDA,32,
TAMEK KONSR GARNITUR 560 GR,GIDA,32,
SUTAS 250 G DİLİM KASAR,SÜT KAHVALTILIK,32,
VIVIDENT XYLIT STORMING YEŞİL NANE 33 GR,GIDA,32,
KUZU CORBALIK KEMIK,ET TAVUK,32,kasap
BAYCE 250GR SIYAH CAY,İÇECEK,32,
MILKA 80GR CIKOLATA SUTLU,GIDA,32,sekerci
DOGUS KIRAZ SAPLI YESIL CAY 20'LI,İÇECEK,32,
SAFRANBOLU CEVİZLİ LOKUM 450 GR,SÜT KAHVALTILIK,32,sekerci
SITIL PREMIUM PARLATICI SUNGER KUTULU KAHVE,DETERJAN TEMİZLİK,32,
ARKO TRAS SABUNU,KOZMETİK,32,
SAFRANBOLU ÇİFTE KAVR. LOKUM 450 GR,SÜT KAHVALTILIK,32,sekerci
ORKID ULTRA PLATINUM COMFORT 24AD GECE,KAĞIT,32,
LIPTON FORM PLUS KAYISI 20'LI POSET,İÇECEK,32,
DR.OETKER SALEP 20 GR EKSPRES,GIDA,32,
CLIO SIVI BULASIK DETERJANI 1KG FRANBUAZ,DETERJAN TEMİZLİK,32,
F SAFF BANYO TEMIZLEYICI 750 ML,DETERJAN TEMİZLİK,32,
K.KUKRER 1LT ELMA SIRKESI,GIDA,32,
BINGO DYNAMIK TAB.15'LI KLASIK,DETERJAN TEMİZLİK,32,
H.SAKIR MATIK 1000GR LAVANTA POSET,DETERJAN TEMİZLİK,32,
PAKMAYA PUDRA SEKERI 200 GR.,GIDA,32,
ELIDOR 700 ML SAMPUAN ONARICI BAKIM,KOZMETİK,32,
"RINSO MATİK 1,5 KG CICEK BAHCESI",DETERJAN TEMİZLİK,32,
SENER RECEL 380 GR AHUDUDU,SÜT KAHVALTILIK,32,
HUGGIES NATURAL ISLAK HAVLU 64 AD BANYO,KAĞIT,32,
PASTAVILLA MAKARNA MEZZANELLI 500 GR.,GIDA,32,
ACE C.SUYU 2.2 KG LAVANTA DUŞLERI,DETERJAN TEMİZLİK,32,
DR.OETKER GOURMET SEKERLI VANILIN 3'LU,GIDA,32,
KARMEZ KEPEK EKMEK DILIMLI 500 GR,GIDA,32,firin
DOGUS B.LABEL 100'LU DEMLIK 48'LI POSET CAY HED,İÇECEK,32,
CIG KOFTELIK KIYMA,ET TAVUK,32,kasap
ORKID 4 LU ANNE KIZ PKT ULTRA 28 LI,KAĞIT,32,
ICIM SUT 2 LT PASTORIZE KUTU,SÜT KAHVALTILIK,32,
"CALGONIT JEL DETERJAN 1,35 ML",DETERJAN TEMİZLİK,32,
EKICI KASAR PEYNIRI 500 GR,SÜT KAHVALTILIK,32,
DERYA YAGLI BEYAZ PEYNİR 500GR.,SÜT KAHVALTILIK,32,
PERSIL JEL 1095GR DENİZ ESİNTİSİ,DETERJAN TEMİZLİK,32,
DR.OETKER ASURE 225 GR,GIDA,32,
ROCCO SIKI SEKER AHUDUDU-LİMON 19.5GRDET,GIDA,32,
COFFEE MATE 400 GR YENI,İÇECEK,32,
DURU IRI BULGUR 1KG,GIDA,32,
FAIRY H 1 ARADA PLAT 30'LU BULASIK DETERJAN HEDİ,DETERJAN TEMİZLİK,32,
TURSIL MATIK 5KG COLOR LEYLAK BAHCESI,DETERJAN TEMİZLİK,32,
PINAR %100 SAF PORTAKAL SUYU 1LT,GIDA,31,
DURU 600ML SAMPUAN SARMASIK KREMLI,KOZMETİK,31,
TORKU GOFRET SUTLU 35 GR NO:1,GIDA,31,sekerci
COLGATE TOTAL 100ML P.BEYAZLIK 1 ALANA 1BEDAVA,KOZMETİK,31,
PRIMA 4 PREMCARE 7-18KG.46 ADET,BEBEK,31,
MOLFIX DYNAMIC DEV PAK. MAXI 7_18 48+48,BEBEK,31,
ELIDOR 700 ML MUKEMMEL DUZ,KOZMETİK,31,
SUTAS M.YOGURT 500 GR SEFTALİ+KAYISI,SÜT KAHVALTILIK,31,
FAX SIVI EL SABUNU 2 KG OKYANUS FERAHLIGI,KOZMETİK,31,
SUTAS AYRAN 200 GR.,İÇECEK,31,bufe
CLIN CAM TEMIZLEYICI 500 ML,DETERJAN TEMİZLİK,31,
PAM SIVI SABUN GUL 4LT.,KOZMETİK,31,
PERSIL 5 KG EXPERT DENİZ,DETERJAN TEMİZLİK,31,
OZKALELI BALBASI TATLI VE KATI UZUM PEKMEZI,SÜT KAHVALTILIK,31,
CARTE DOR AYVA TATLISI 240GR,GIDA,31,
IPANA ANTI CURUK KALSI-TAT 125 ML,KOZMETİK,31,
RENGA HELEZON SEFFAF BAHARATLIK,EV,31,
WEST GREY UZUN,SİGARA,31,
CIF MUTFAK JEL 750ML,DETERJAN TEMİZLİK,31,
MILKA 80 GR BONIBON TABLET CIKOLATA,GIDA,31,sekerci
ICIM TAZE PEYNIR 200GR,SÜT KAHVALTILIK,31,
ELSEVE ARGININE 650 ML DOKULME KARSITI,KOZMETİK,31,
BINGO DINAMIK 750 GR. BULASIK SIVI SARAY MUTFAGI,DETERJAN TEMİZLİK,31,
"ALOMATIK 1,5 KG CANLI RENKLER",DETERJAN TEMİZLİK,31,
SOLO ULTRA HAVLU 6 LI %25,KAĞIT,31,
KECHEESE YORUK KECI PEYNIRI,SÜT KAHVALTILIK,31,
ULKER BEBE 400 GR.-145,BEBEK,31,
SELIN KOKU GIDERICI ISLAK MENDIL 3 LU,KAĞIT,31,
REIS BORULCE FASULYE 1KG,GIDA,31,
FUSE TEA 330 ML KARPUZ,İÇECEK,31,
ULKER CICI BALIK KRAKER 145GR,GIDA,31,bufe
NESTLE 80 GR BLACK UZUM-BADEM-FINDIK CIK.,GIDA,31,
ARKO TRAS KREMI 100 GR.KOMANDO,KOZMETİK,31,
MARLBORO BLUE ICE,SİGARA,31,
BINGO SIVI DET.4 LT.RENKLI,DETERJAN TEMİZLİK,31,
"FRUKO GAZOZ 2,5 LT.",İÇECEK,31,bufe
PINAR KARE MANTISI 400GR.,GIDA,31,
HALK GOFRET FINDIK AROMALI 150GR,GIDA,31,sekerci
HALK KREM SANTI SADE 150GR,GIDA,31,
DURU VUC.BAKIM SABUN 200 SALATA OZ,KOZMETİK,31,
BERRAK TURSU KARISIK 3 LT PET,GIDA,31,
BINGO 5 KG AUTOMAT ERGUAN,DETERJAN TEMİZLİK,31,
SILEN WC KAGIDI ULTRA 8'LI,KAĞIT,31,
SIGNAL WHITE NOW D.M 75 ML DIS FIRCASI HED.,KOZMETİK,31,
CLIO TUZ RUHU 2500 ML,DETERJAN TEMİZLİK,31,
MILKA 100GR CIKOLATA CILEKLI,GIDA,31,sekerci
LIPTON DOGU K.DENIZ 500GR CAY,İÇECEK,31,
GILLETTE MACH3 BICAK 4'LU MACH3 JEL HEDIYE,KOZMETİK,31,
S.BRITE YESIL ULTRA KONFOR SUNGER 2 LI,DETERJAN TEMİZLİK,31,
HERO SUTLAC 125GR,BEBEK,31,
EMEK AYCICEK YAG 18 LT TNK,GIDA,31,
MURATTI AZURE KISA BAX,SİGARA,31,
"SHAZILI CAPPUCCİNO ŞEKERLI 10,5GR",İÇECEK,31,
DOGUS KARADENIZ CAY DEMLIK 48'LI BERGAMOTLU,İÇECEK,31,
KARAAGAC YAZ HELVASI CEVIZLI 500GR,SÜT KAHVALTILIK,31,sekerci
VIVIDENT XYLIT STORMING LİMONATA 33 GR,GIDA,31,
ICIM LINK AROMA 250ML PORTAKAL,İÇECEK,31,
HERO GOGLY PIRINC UNU MUZ,BEBEK,31,
LIPTON ICE TEA 1 LT SEFTALI,İÇECEK,31,bufe
HEAD SHOULDERS 600ML 2SI1 ARADA,KOZMETİK,31,
IPEK SAMP.600 ML KEPEĞE KARŞI,KOZMETİK,31,
DURU ESMER CIGKOFTELIK BULGUR 1KG,GIDA,31,
DURU KIRMIZI TOP MERCIMEK 1 KG,GIDA,31,
BIZIM KETCAP 750GR + MAYONEZ 650 GR MAKARNA HEDİYE,GIDA,30,
ARGEM JAPON KURDAN 200'LU,EV,30,
ULKER KREMINI 50 GR PORTAKAL,GIDA,30,
BALPARMAK 460GR SUZME CICEK BALI,SÜT KAHVALTILIK,30,
TAT BARBUNYA PILAKI 190 GR,GIDA,30,
DURACELL 4 LU KALEM INCE PIL 1.5 V AAA,EV,30,
LAY`S KURUTRLMUS YESILLIK 115 GR,GIDA,30,
MOLFIX DYNAMIC DEV PAK.MAXI 9_20,BEBEK,30,
"RINSO MATİK 1,5 KG YAĞMURDA DANS",DETERJAN TEMİZLİK,30,
RENGA LIMON SIKACAGI,EV,30,
ULKER ONEO SLIM YESIL NANE,GIDA,30,
FUSE TEA 1 LT MANGO-ANANAS,İÇECEK,30,
TAT RECEL CILEK 380GR,SÜT KAHVALTILIK,30,
ULKER DANKEK CAY SAATI,GIDA,30,
PROTEX SABUN 75 GR FRESH,KOZMETİK,30,
SOLO NATUREL 3 LU HAVLU,KAĞIT,30,
PAPIA HAVLU 4+2 BEDAVA 3KATLI,KAĞIT,30,
MARET GELENEKSEL DANA SUCUK VAK.250GR,ET TAVUK,30,kasap
APTAMIL SUTLU PIRINCLI 250 GR,BEBEK,30,
SOLEN BISCOLATA PIA PORTAKAL 100 GR,GIDA,30,
SUTAS KASAR PEYNIR 8 DILIM 160 GR,SÜT KAHVALTILIK,30,
DANONE ACTIVIA SADE 4LU 440GR,SÜT KAHVALTILIK,30,
RUFFLES AILE PEYNIR SOGAN 84 GR,GIDA,30,
H.SAKIR GUZL SAB 5LI LEYLAK BAHCESI 375GR,KOZMETİK,30,
BANVIT PILIC YAPRAK DONER  200 GR,ET TAVUK,30,kasap
SARELLE 350 GR FINDIK EZMESI,SÜT KAHVALTILIK,30,
BINGO DYNAMIC BULS.MAK.PARLATICI 500LT,DETERJAN TEMİZLİK,30,
PHILIPS 15 W TORNADO KALIN DUY BEYAZ,EV,30,
MOLFİX JUMBO PAKET MAXİ 7-18KG,BEBEK,30,
"BINGOSOFT KONSANTRE 1,5 LT SENSITIVE",DETERJAN TEMİZLİK,30,
H.SAKIR SAMPUAN BAL OZU 600ML.,KOZMETİK,30,
FİSKOBİRLİK FINDIK EZMESİ 320 GR,SÜT KAHVALTILIK,30,
PINAR BEYAZ LIGHT PEYNIR 400GR,SÜT KAHVALTILIK,30,
PEYMAN TUZLU IC FINDIK 55GR.,GIDA,30,kuruyemisci
KOTEX LİGHDAYS 20 Lİ GÜNLÜK PED NON-PARFUME,KAĞIT,30,
VERNEL 1.5LT MAX AMETIST,DETERJAN TEMİZLİK,30,
VERNEL 1LT LAVANTA&VANILYA YUMUSATICI,DETERJAN TEMİZLİK,30,
OMO MATIK 5KG YUMOS,DETERJAN TEMİZLİK,30,
PERMATIK TEKLI 5LI POSET,KOZMETİK,30,
FAX 5 LI GUZELLIK SABUNU MUGE 350 GR,KOZMETİK,30,
FAX SIVI EL SABUNU 2 KG CREAM,KOZMETİK,30,
KNORR CABUK CORBA KREMALI SEBZ,GIDA,30,
DR.OETKER BÖĞÜRTLENLİ SOS TEK KULLANIMLIK 50G,GIDA,30,
MOLPED ULTRA AİRACTİVE KNT. NOR. DEO FLORAL SÜPER,KAĞIT,30,
DOGUS BLACK LABEL 100 AD.SUZEN BARDAK,İÇECEK,30,
TORKU CLASSIC FINDIKLI CIKOLATA 80GR,GIDA,30,sekerci
ULKER KREMINI 50 GR AHUDUDU,GIDA,30,
ICIM DOLCIA 110ML X4 CILEK,SÜT KAHVALTILIK,30,
DURU 600ML SAMPUAN INCE TELLI-YAGLI,KOZMETİK,30,
DR.OETKER KREM SOKOLA,GIDA,30,
SERA BUZDOLABI POSETI 30 ADET,EV,30,
ACE C.SUYU 2.2 KG HIJYEN,DETERJAN TEMİZLİK,30,
DR.OETKER GOURMET KAKAO 50 GR,GIDA,30,
W.CANPED YATAK KORUYUCU ORTU 10LU,KAĞIT,30,
MOLFIX DYNAMIC DEV PAK. JUNIOR 11_25 36+36,BEBEK,30,
HALK CORBA KREMALI TAVUK,GIDA,30,
DR.OETKER PROFITEROL 360GR,GIDA,30,
DR.OETKER CIKOLATALI FIN. SOS 130GR,GIDA,30,sekerci
SELPAK WC AQUA 26+6 WC KAGIDI,KAĞIT,30,
REIS IRMIK 500 GR,GIDA,30,
PAKMAYA BUGDAY NISASTA 200 GR.,GIDA,30,
"OMO MATIK 1,5 KG YUMOŞ LAVANTA",DETERJAN TEMİZLİK,30,
BINGOSIL FRESH 1LT YUZEY TEMIZLEYICI  LOVELY,DETERJAN TEMİZLİK,30,
MLP DCARE LIGHT 20*24FLOWER DEO,KAĞIT,30,
FAX SIVI SABUN LAVANTA 500ML,KOZMETİK,30,
BIZIM MARGARİN KAHVALTI KEYFİ 250 GR,SÜT KAHVALTILIK,30,
DIMES 1 LT %100 MEYVE SUYU ŞEFTALİ-ÜZÜM,İÇECEK,30,
PENGUEN KOZL-KIRMIZI BIBER 680GR,GIDA,30,
BEBELAC TAHIL KARISIMI 125 GR GECE,BEBEK,30,
BEBELAC SUTLAC 125 GR,BEBEK,30,
"PRIL BULS.SIVISI 1,5KG KLASIK",DETERJAN TEMİZLİK,30,
ULKER SAKLIKOY YULAFLI 3 LU PAKET,GIDA,30,
ULKER OLALA ISLAK  KEK 35 GR,GIDA,30,
ABC TOZ DETERJAN 600 GR ELDE YIKAMA LAVANTA TAZELI,DETERJAN TEMİZLİK,30,
LAY`S KASIK BAHARAT 61 GR,GIDA,30,
VILEDA ELDIVEN STANDARD -7,DETERJAN TEMİZLİK,29,
CARTE DOR DAMLA SAKIZLI MUHALLEBI 134GR,GIDA,29,sekerci
ICIM PUDING SUTLU CIKOLATALI 150GR,GIDA,29,sekerci
UNO HAMBURGER 6 LI.YATAY 312GR,GIDA,29,
TAT ACI BIBER TURSUSU 370 GR,GIDA,29,
KONYA KUP SEKER 360 AD.1000 GR,İÇECEK,29,
SUTAS AYRAN 330 ML ŞİŞE AYRAN,İÇECEK,29,bufe
TADIM ANTEP FISTIGI 200GR,GIDA,29,
KOSKA DUT PEKMEZI 700 GR,SÜT KAHVALTILIK,29,
COCA COLA LIGHT 250 ML TNK,İÇECEK,29,bufe
ULKER CAMLICA 2.5 LT,İÇECEK,29,
ULKER SUSAMLI PASTA BİSKÜVİ 360 GR 4'LÜ PAKET,GIDA,29,
DR.OETKER SICAK CIK. TADINDA 27 GR,GIDA,29,
COTANAK FINDIK YAGI 5 LT,GIDA,29,
YAREN COK AMACLI RAF ORTUSU,EV,29,
ALTIN CEZVE TOZ ICECEK TARCIN 300 GR,İÇECEK,29,
MARET AFIYETLE PILIC SALAM,ET TAVUK,29,kasap
SENER TAHIN 400 GR+ PEKMEZ 540 GR,SÜT KAHVALTILIK,29,
ISIL TUZ SALAMURA 3000 GR,GIDA,29,
ELHIM T2-20W 276400,EV,29,
LIPTON EARL GREY TEA 48 AD 163 GR,İÇECEK,29,
FAX SIVI EL SABUNU 2 KG LAVANTA,KOZMETİK,29,
KARAAGAC PEKMEZ 1000 GR,SÜT KAHVALTILIK,29,
ULKER SUNNY 2.5 LT MANDALINA,İÇECEK,29,
SUPER FRESH GARNITUR 570 GR,GIDA,29,
LIPTON TB 32GR IHLAMUR 20LI,İÇECEK,29,
CARTE DOR CIKOLATALI SOS 118,GIDA,29,sekerci
KISMET PROFITEROL 300GR,SÜT KAHVALTILIK,29,
YUMOS 2 LT CICEK BAHCESI YUMUSATICI YENI,DETERJAN TEMİZLİK,29,
ARKO TRAS KREMI 100 ML SENSITIVE,KOZMETİK,29,
PENGUEN TURSU AVRUPA 670 GR,GIDA,29,
ORKID GUNLU KNORMAL 20,KAĞIT,29,
CAYKUR SIYAH SUZME 100 AD.BARDAK,İÇECEK,29,
DOGUS KEYIF BAHCESI CAYI 500 GR,İÇECEK,29,
PEYMAN DORLEO KIZARTILMIŞ YER FISTIGI 70 GR,GIDA,29,
DURU SIVI SABUN FRUIT'N MILK 300 ML SEFTALI,KOZMETİK,29,
MR.MUSCLE REZERVUAR BLOK EKO.PK,DETERJAN TEMİZLİK,29,
DR.OETKER WOLKE LIMONLU KEK 430 GR.,GIDA,29,
CAPPY M.SUYU 200ML PORTAKAL,İÇECEK,29,
PERSIL 7KG GULUN BUYUSU,DETERJAN TEMİZLİK,29,
BINGOSOFT 6 LT LOVELY,DETERJAN TEMİZLİK,29,
F SAFF BULASIK PARLATICISI 450ML,DETERJAN TEMİZLİK,29,
OMO MATIK 5KG AKTIF FRESH,DETERJAN TEMİZLİK,29,
DR.OETKER JOLE 100 GR CILEK,GIDA,29,
ICIM PEYNO KREM PEYNIR 200 GR.,SÜT KAHVALTILIK,29,
MILKA 80GR CIKOLATA BEYAZ,GIDA,29,sekerci
DALIN CEP MENDIL CARS,KAĞIT,29,
PRIMA 1 PREMCARE 2-5KG.50 ADET,BEBEK,29,
DOGUS YESIL 20LI TARÇINLI-KARANFILLI,İÇECEK,29,
ICIM M.SUYU 200 ML PORTAKAL,İÇECEK,29,
CARTE DOR KABARTMA TOZU 5'LI,GIDA,29,
DR.OETKER PUDING CIKOLATILI-BADEM 118GR,GIDA,29,sekerci
DOGUS KARADENIZ POSET 25'LI BERGAMOTLU,İÇECEK,29,
PIKNIK 1488 PLASTIK CATAL 1488,EV,29,
NESTLE CHOCAPIC BUGDAY 250 GR,SÜT KAHVALTILIK,29,
HALK CIKOLATALI SOS 128GR,GIDA,29,sekerci
NESTLE CHOKELLA 750GR.,SÜT KAHVALTILIK,29,
DIMES 1/5 LT MEYVE SUYU VİŞNE,İÇECEK,29,
LIPTON SIYAH INCI 1000 GR.,İÇECEK,29,
SITIL SPECIAL 100 ML SIYAH LIKIT,DETERJAN TEMİZLİK,29,
TAT MISIR 320GR CAM,GIDA,29,
KEBIR TEREYAG 1 KG,SÜT KAHVALTILIK,29,
SEMIZOTU,MEYVE SEBZE,29,manav
DURU KOFTELIK BULGUR 1KG,GIDA,29,
TADIM CIFTE KAVRULMUS 200GR SARI LEBLEBI,GIDA,28,kuruyemisci
BIZDEN KIRMIZI MERCIMEK 1KG,GIDA,28,
TAT KOZLENMIS BIBER 670 GR,GIDA,28,
DOGUS CIPSO 69 GR. YOGURT LEZZETI TIRTIKLI,GIDA,28,
YUMOS EXTRA 1500 ML LAVANTA&MANOLYA,DETERJAN TEMİZLİK,28,
SUPER FRESH MISIR 450 GR,GIDA,28,
BIZDEN IRMIK 500 GR,GIDA,28,
ARGEM LAVABO ACICI 2'LI KUTU,EV,28,
TAT MAYONEZ 650 GR.,GIDA,28,
BIGBABOL SEKERLI SAKIZ CILEK 23GR,GIDA,28,sekerci
BERRAK BIBERIYE TURSUSU 370 ML,GIDA,28,
MUJDE MICRO 60 CESIT,EV,28,
ULKER DANKEK KAKAO KAPL.KEK 280GR,GIDA,28,
FUSE TEA 330 ML LIMON,İÇECEK,28,
CIF SUNLIGHT BULASIK DETERJANI1275 GR SARI LIMON,DETERJAN TEMİZLİK,28,
SENER RECEL 380 GR INCIR,SÜT KAHVALTILIK,28,
PINAR CESNI KETCAP 500 GR TUP,GIDA,28,
TAT TEDİ 300 ML. HAVUC+ELMA+KAYISI,İÇECEK,28,
GURALLAR ART CRAFT ASENA 314 CAY BARDAGI,EV,28,
AKDEM NAR EKSISI PEKMEZI 670GR.,SÜT KAHVALTILIK,28,
LAVACHE QUIRIT KREM PEYNIR 160 GR,SÜT KAHVALTILIK,28,
SELPAK MENDIL BAHAR 10LU PAKET,KAĞIT,28,
HALK PETIBOR 350 GR,GIDA,28,
PERWOLL NARİN SİHİR 1 LT,DETERJAN TEMİZLİK,28,
ARGEM LUX TOPTEL,EV,28,
DIXI SIVI TEMIZLEYICI 3LT AKDENIZ FERHLIGI,DETERJAN TEMİZLİK,28,
MLP DCARE LIGHT 60*10 FRESH DEO,KAĞIT,28,
H.SAKIR SABUN 5*70 GR LIMON FERAHLIGI,KOZMETİK,28,
KUZU BOBREK,ET TAVUK,28,kasap
ULKER METRO KARAMEL 19 GR,GIDA,28,sekerci
KENT OLIPS BALLI & LIMON AROMALI 40GR,GIDA,28,
SENSODYNE BEYAZLATICI 100 ML,KOZMETİK,28,
H.SAKIR SIVI SAB. 400ML H.CEVIZ,KOZMETİK,28,
CHAMPION BARDAK25LI SEYLAN CAYI,İÇECEK,28,
BEBELAC KAV.125GR BAHCE MEYVELERI,BEBEK,28,
COLGATE D.M.MISVAK OZLU 50ML,KOZMETİK,28,
KNORR CORBA HANIM AGA 95 GR,GIDA,28,
P.BAHCE 55411 KEYIF 6 LI CAY BARDAGI,EV,28,
BIZDEN PIRINC UNU 7VIT200 GR,GIDA,28,
PINAR PILIC KROKET 430 GR.,GIDA,28,
NUMIL APTAMIL JUNİOR 200 ML SUT TETRA,BEBEK,28,
SUPER FRESH PATATESLI RULO BOREK 500GR.,GIDA,28,
CIPSO KIRMIZI BIBER 111 GR,GIDA,28,
SENSODYNE FERAH NEFES 100 ML,KOZMETİK,28,
DR.OETKER CIKOLATA PARCACIKLARI 100GR,GIDA,28,sekerci
DOGANAY SALGAM SUYU ACILI 1000ML CAM SISE,İÇECEK,28,
CHAMPION DEMLIK 48LI SEYLAN CAYI,İÇECEK,28,
ULKER HOBBY KEK FINDIK KREMALI 30GR,GIDA,28,
HASTEL CIG KADAYIF 500GR,GIDA,28,
AROMA TROPIKAL KAYISILI KUTU 200ML,İÇECEK,28,
PINARI HINDI DONER PISMIS 350 GR,GIDA,28,
ICIM DOLCIA 110ML X4CIKOLATA SEVDASI,SÜT KAHVALTILIK,28,sekerci
ARGEM KAPI BANDI,EV,28,
SINANGIL UN 10 KG.,GIDA,28,
KNORR FIRINDA TAVUK CESNISI 32 GR OTLU CESNI,GIDA,28,
SARELLE 350 GR BITTER FINDIK EZMESI,SÜT KAHVALTILIK,28,
YUMOS 1500 ML.DELUX GECE MANOLYASI,DETERJAN TEMİZLİK,28,
S.BRITE YESIL ULTRA KONFOR KLASIK SUNGER 2 LI,DETERJAN TEMİZLİK,28,
SANA KLASIK 4*250 ML BORCAM HEDIYE,SÜT KAHVALTILIK,28,
TAT TEDİ 200 ML. HAVUC+ELMA+ANANANS+MANGO,İÇECEK,28,
RENGA HELEZON TUZLUK,EV,27,
ICIM TEREYAGI 500 GR,SÜT KAHVALTILIK,27,
PINAR MAYONEZ 650 GR.,GIDA,27,
REIS MIDYAT PILAVLIK BULGUR 1KG,GIDA,27,
COOK ALUM.FOLYO 10 M STREC FILM HEDIYE,EV,27,
DURACELL TURBO MAX 2 LI INCE PIL,EV,27,
PENGUEN BEZELYE 820GR TNK,GIDA,27,
ARIEL MATIK 5 KG DAG ESINTISI 3D ACTIVES,DETERJAN TEMİZLİK,27,
FALIM DAMLA SAKIZI POŞET 20 ADET,GIDA,27,sekerci
M.BIRLIK MEGA ZEYTIN 500GR,SÜT KAHVALTILIK,27,
NESCAFE GOLD 100 GR.KAVANOZ,İÇECEK,27,
HELEN H. KANATLI NORMAL 10 AD,KAĞIT,27,
SEK MEYVE NEK.200 ML VISNE,İÇECEK,27,
"BINGOSOFT KONSANTRE 1,5 LT ADA FERAHLIGI",DETERJAN TEMİZLİK,27,
SENER RECEL 770 GR VISNE,SÜT KAHVALTILIK,27,
PAKMAYA ANTEP FISTIKLI PUDING,GIDA,27,
PRIMA ACT BABY EKONOMI 11-25 KG,BEBEK,27,
ARGEM JAPON KURDAN 400'LU,EV,27,
PAPIA CEP MENDILI COCUK 10PK,KAĞIT,27,
MLP DCARE LIGHT 20*24 FRESH DEO,KAĞIT,27,
F SAFF CEP MENDIL 8'LI,KAĞIT,27,
HALK CORBA ISKEMBE 60GR,GIDA,27,
PHILIPS 8 W TORNADO,EV,27,
CAPPY MEYVA NEKTARI 200ML SEFTALI,İÇECEK,27,
DANONE ACTIVIA CILEK 4LU 440GR,SÜT KAHVALTILIK,27,
VERNEL 6LT LAVANTA YUMUSATICI,DETERJAN TEMİZLİK,27,
BIGBABOL CILEK SAKIZ 40GR,GIDA,27,sekerci
ULKER KELLOGG`S K FLAKES 450 GR SADE,SÜT KAHVALTILIK,27,
NESTLE MÜSLİ TROPIKAL MEYVELI 350 GR,SÜT KAHVALTILIK,27,
OLCA BIBER SALCASI 900 GR TATLI,GIDA,27,
NIVEA LIP DUDAK KORU STAR FRUITS,KOZMETİK,27,
ARKO MEN BANYO TIRAS BICAGI 5'LI,KOZMETİK,27,
PINAR ORGANIK SUT 1000ML,SÜT KAHVALTILIK,27,
GILLETTE BLUE 2 PLUS 10+2 'LI 3DISP,KOZMETİK,27,
