is_kolu,isim,osm_id
restoran,sanliurfa zaman ciger ve kebap salonu,5075962053
restoran,Gaza Vattan Felafel,5075993808
restoran,Anadolu Büfe,5075993810
restoran,Halep restaurant,5075993816
restoran,Urfa zaman ciğer ve kebep,5075993817
restoran,Pilavcı Kardeşler,5075994622
restoran,Akdeniz Hatay Sofrası,5075994624
restoran,Yesilkir pide bank,5076114618
restoran,Kule köfte,5076115923
restoran,Buryan Kebap Ve Izgara Salonu,5076115938
restoran,Evim Iskender Kebap,5081264669
restoran,Asmaaltı Dürümc,5081264670
restoran,Flavory Restaurant,5081264682
restoran,Bizza Bulls,5081265930
restoran,Hacielaziz Çigköfte,5081265933
restoran,Bizim Durum kebap Salonu,5081265935
restoran,Dürümcü Haşim Usta,5081265952
restoran,Kasem Abu Alkas Lokantası,5081265953
restoran,Sit Elşam Pasta,5081265954
restoran,Saniyora Tatlası,5081265956
restoran,Çitir Lahmacun,5081265957
restoran,Deniz Ürünleri restoranı,5081265959
restoran,Taehan Uygur Restoranı,5081265961
restoran,Pilavci Resat,5081265963
restoran,Razzak resturan,5081265967
restoran,Sultan Resturant,5081274110
restoran,Günbilir balık lokantası,5081610907
restoran,Merkez dürüm evi,5081610909
restoran,Engin Pastanesi,5081610940
restoran,Sur Pide ve Lavaş Lahmacun Salonu,5081610950
restoran,Mevlana kasap ızgara salonu,5081610977
restoran,Yedikule kebap pilavcı,5087168296
restoran,Safir Köfte,5087168298
restoran,Trakya Köfte Salonu,5087168314
restoran,Çiğköfteci ömer usta,5087172331
restoran,Ümit Börek Salonu,5087172333
restoran,Eyüp Sultan Sofrası,5087172338
restoran,Kebapçıoğlu,5087179426
restoran,Farrujna,5087179431
restoran,Hükümran Sofrası,5087179433
restoran,Safa meyhanesi,5087179440
restoran,Yedikule kebapçısı,5087179441
restoran,Aydın kardeşler köfte salonu,5087179443
restoran,Dürümcü mehmet ustanın yeri,5087179444
restoran,Aydın kardeşler börekçi,5087179445
restoran,Oses çiğköfte,5087179448
restoran,İncedal et lokantası,5087179456
restoran,Öz Anteplizade,5087179461
restoran,Rumeli Tulumbacısı,5087179467
restoran,Samatya Çapana,5088190860
restoran,Çapana Et Balık,5088190861
restoran,Samatya Mangalbaşı,5088190862
restoran,Samatya Balıkçısı,5088190864
restoran,Sarya,5088190865
restoran,Antik Et Balık,5088190866
restoran,Annemin Yeri,5088190867
restoran,Kucuk Ev,5088190868
restoran,Norjin Samatyon,5088190870
restoran,Forsa Balık,5088190871
restoran,Meze,5088190872
restoran,Matya Kömürde Balık,5088190873
restoran,Samatya Balık Evi,5088190874
restoran,Develi,5088190875
restoran,Ali Haydar İkinci Bahar,5088190876
restoran,Yunca Büfe,5088190907
restoran,Maydanoz,5088190917
restoran,Can Pide Börek,5088192721
restoran,Hasanoğlu Börek Pasta ve Cafe,5088192722
restoran,Samatya Ocakbasi,5088192727
restoran,Ahmet Baba Dürümcüsü,5088192728
restoran,Günbilir Balık Restaurant,5088192729
restoran,Sedir Et ve Balık,5088192730
restoran,Deniz Balık Restaurant,5088192731
restoran,Cihan Derya Balık,5088192732
restoran,Öztürk Kardeşler Balık Lokantası,5088192733
restoran,Helena Çak Stone,5088192735
restoran,Mevlana Pide,5088192744
restoran,Meşhur Samatya pilavcısı,5088192750
restoran,Tunyalı Ocakbaşı ve Kababı,5088192752
restoran,Dostlar Büfe ve Köfte,5088192754
restoran,Meşhur Tekirdağ Köftecisi,5088192760
restoran,Doyum Kebap Ve Dürüm Salonu,5088192762
